Input_Size,Num_Clusters,Threads_Per_Block,Blocks_Per_Grid,Num_Grids,Execution_Time_s,Date
1000,245,256,4,1,0.297572,20260227
10000,1823,256,40,1,0.0296298,20260227
50000,7248,256,196,1,0.170806,20260227
100000,14037,256,391,1,0.575037,20260227
200000,28663,256,782,1,0.867804,20260227
1000000,178196,256,3907,1,47.4621,20260227
2234316,513330,256,8728,1,270.798,20260227
1000000,178196,32,31250,1,127.812,20260228
1000000,178196,64,15625,1,53.9819,20260228
1000000,178196,128,7813,1,78.1906,20260228
1000000,178196,256,3907,1,60.6387,20260228
1000000,178196,512,1954,1,51.4478,20260228
1000000,178196,1024,977,1,61.4393,20260228
